DATE,VALUE
1995-01-01,94.1663
1995-02-01,93.2739
1995-03-01,91.6730
1995-04-01,89.8462
1995-05-01,90.3528
1995-06-01,90.1676
1995-07-01,90.4943
1995-08-01,93.3792
1995-09-01,93.1247
1995-10-01,94.0469
1995-11-01,95.2557
1995-12-01,95.4634
1996-01-01,97.0785
1996-02-01,96.5937
1996-03-01,96.6419
1996-04-01,96.9887
1996-05-01,97.4956
1996-06-01,97.8203
1996-07-01,97.0845
1996-08-01,97.3231
1996-09-01,98.1281
1996-10-01,98.3615
1996-11-01,98.4015
1996-12-01,99.0104
1997-01-01,101.1326
1997-02-01,102.1151
1997-03-01,102.5186
1997-04-01,104.0535
1997-05-01,102.1076
1997-06-01,102.2540
1997-07-01,104.7233
1997-08-01,105.5356
1997-09-01,105.7319
1997-10-01,107.1133
1997-11-01,109.7412
1997-12-01,113.8195
1998-01-01,115.8837
1998-02-01,114.0125
1998-03-01,114.3475
1998-04-01,113.6138
1998-05-01,116.2637
1998-06-01,117.4886
1998-07-01,118.0220
1998-08-01,120.2243
1998-09-01,117.9651
1998-10-01,114.3120
1998-11-01,115.3833
1998-12-01,113.7533
1999-01-01,115.9232
1999-02-01,117.4449
1999-03-01,116.9313
1999-04-01,116.1893
1999-05-01,117.7551
1999-06-01,117.3732
1999-07-01,116.1293
1999-08-01,115.9040
1999-09-01,115.2729
1999-10-01,115.1532
1999-11-01,115.7501
1999-12-01,114.9587
2000-01-01,116.7774
2000-02-01,117.2613
2000-03-01,116.1028
2000-04-01,118.9700
2000-05-01,119.4828
2000-06-01,118.6706
2000-07-01,119.7195
2000-08-01,119.9787
2000-09-01,121.3081
2000-10-01,123.8378
2000-11-01,124.0386
2000-12-01,122.2136
2001-01-01,122.7765
2001-02-01,123.9796
2001-03-01,127.6266
2001-04-01,126.3479
2001-05-01,127.2220
2001-06-01,127.5968
2001-07-01,127.0164
2001-08-01,125.1199
2001-09-01,126.4596
2001-10-01,127.2118
2001-11-01,126.8885
2001-12-01,128.0516
2002-01-01,130.0123
2002-02-01,130.0724
2002-03-01,129.3742
2002-04-01,127.8078
2002-05-01,125.9471
2002-06-01,124.2981
2002-07-01,125.4823
2002-08-01,125.0310
2002-09-01,126.8201
2002-10-01,126.3005
2002-11-01,126.0798
2002-12-01,124.3065
2003-01-01,123.5452
2003-02-01,123.1705
2003-03-01,122.3573
2003-04-01,120.0717
2003-05-01,117.6599
2003-06-01,117.9495
2003-07-01,119.8038
2003-08-01,120.1821
2003-09-01,116.8743
2003-10-01,116.3592
2003-11-01,115.5239
2003-12-01,113.3491
2004-01-01,113.4980
2004-02-01,114.1217
2004-03-01,113.3873
2004-04-01,116.3177
2004-05-01,115.8105
2004-06-01,115.7195
2004-07-01,115.9611
2004-08-01,115.0738
2004-09-01,113.8049
2004-10-01,111.8276
2004-11-01,108.8556
2004-12-01,108.1906
2005-01-01,109.7292
2005-02-01,108.7612
2005-03-01,109.8558
2005-04-01,109.9660
2005-05-01,111.3507
2005-06-01,111.9954
2005-07-01,111.5537
2005-08-01,110.7113
2005-09-01,110.9641
2005-10-01,111.8258
2005-11-01,112.1142
2005-12-01,111.7440
2006-01-01,109.6486
2006-02-01,109.9459
2006-03-01,110.6530
2006-04-01,108.1677
2006-05-01,107.8996
2006-06-01,108.3454
2006-07-01,108.0810
2006-08-01,107.7963
2006-09-01,108.1996
2006-10-01,107.4234
2006-11-01,106.4966
2006-12-01,106.9170
2007-01-01,107.8369
2007-02-01,107.0536
2007-03-01,106.0965
2007-04-01,104.6749
2007-05-01,104.1504
2007-06-01,103.9609
2007-07-01,103.1515
2007-08-01,103.4223
2007-09-01,100.6143
2007-10-01,98.7964
2007-11-01,99.1169
2007-12-01,99.0307
2008-01-01,97.8968
2008-02-01,96.2867
2008-03-01,95.6590
2008-04-01,95.9145
2008-05-01,95.5900
2008-06-01,95.7525
2008-07-01,95.7897
2008-08-01,98.9748
2008-09-01,101.3806
2008-10-01,108.5864
2008-11-01,110.5384
2008-12-01,107.3594
2009-01-01,110.9029
2009-02-01,113.9261
2009-03-01,111.2290
2009-04-01,108.8949
2009-05-01,104.2599
2009-06-01,105.3305
2009-07-01,103.2811
2009-08-01,103.6230
2009-09-01,102.0453
2009-10-01,101.5112
2009-11-01,100.1825
2009-12-01,101.7610
2010-01-01,102.7929
2010-02-01,102.5547
2010-03-01,101.7939
2010-04-01,101.6837
2010-05-01,105.0690
2010-06-01,104.7575
2010-07-01,102.0960
2010-08-01,103.4514
2010-09-01,99.9650
2010-10-01,98.6852
2010-11-01,100.7327
2010-12-01,98.9760
2011-01-01,98.1931
2011-02-01,97.4117
2011-03-01,96.4330
2011-04-01,93.9468
2011-05-01,94.9783
2011-06-01,94.7753
2011-07-01,93.9861
2011-08-01,94.9625
2011-09-01,100.3163
2011-10-01,97.4771
2011-11-01,99.7537
2011-12-01,100.6365
2012-01-01,98.6866
2012-02-01,97.9025
2012-03-01,98.6413
2012-04-01,98.5291
2012-05-01,102.9801
2012-06-01,101.1870
2012-07-01,101.0923
2012-08-01,100.4623
2012-09-01,99.0157
2012-10-01,99.2788
2012-11-01,99.2127
2012-12-01,99.2335
2013-01-01,98.9305
2013-02-01,100.4771
2013-03-01,100.5159
2013-04-01,99.5794
2013-05-01,101.7969
2013-06-01,102.5160
2013-07-01,101.8140
2013-08-01,103.0146
2013-09-01,101.2434
2013-10-01,100.9555
2013-11-01,101.9458
2013-12-01,101.8772
2014-01-01,103.5458
2014-02-01,102.8723
2014-03-01,102.7922
2014-04-01,102.5086
2014-05-01,102.3211
2014-06-01,101.7347
2014-07-01,102.9466
2014-08-01,103.1847
2014-09-01,106.0525
2014-10-01,106.6707
2014-11-01,108.8321
2014-12-01,111.2932
2015-01-01,114.7085
2015-02-01,114.6875
2015-03-01,116.2881
2015-04-01,114.0714
2015-05-01,115.5951
2015-06-01,115.5070
2015-07-01,.
